Kernel,N,W,Time
1,512,4,0.056336
1,512,8,0.017107
1,512,16,0.027786
1,512,32,0.055898
1,1024,4,0.257120
1,1024,8,0.059142
1,1024,16,0.101008
1,1024,32,0.216973
1,2048,4,0.782282
1,2048,8,0.228454
1,2048,16,0.395488
1,2048,32,0.856109
1,4096,4,3.016128
1,4096,8,0.877187
1,4096,16,1.565315
1,4096,32,2.840810
2,512,4,0.045606
2,512,8,0.015622
2,512,16,0.024240
2,512,32,0.045901
2,1024,4,0.215318
2,1024,8,0.054611
2,1024,16,0.085779
2,1024,32,0.178906
2,2048,4,0.605558
2,2048,8,0.237466
2,2048,16,0.331366
2,2048,32,0.682138
2,4096,4,2.421248
2,4096,8,0.788563
2,4096,16,1.311360
2,4096,32,2.696797
3,512,4,0.044979
3,512,8,0.015382
3,512,16,0.023606
3,512,32,0.045248
3,1024,4,0.216704
3,1024,8,0.055274
3,1024,16,0.086189
3,1024,32,0.181110
3,2048,4,0.599600
3,2048,8,0.239635
3,2048,16,0.337005
3,2048,32,0.694477
3,4096,4,2.417040
3,4096,8,0.826835
3,4096,16,1.345638
3,4096,32,2.766285
